"","subplot_id","disturbance_severity","treatment","name","mean2018","mean2020"
"262","D02E","85","B","moch",12.85,15.6
"263","D02E","85","B","max_ht",20.89,21.4
"264","D02E","85","B","p10",1.54,1.76
"265","D02E","85","B","p25",2,2.73
"266","D02E","85","B","p50",4.5,4.86
"267","D02E","85","B","p75",8.23,8.8
"268","D02E","85","B","p90",12.6,14.2
"269","D02E","85","B","cover_fraction",93,81.76
"270","D02E","85","B","vai_mean",6.71,5.39
"271","D02W","85","T","mean_height_mean",8.91,7.71
"272","D02W","85","T","moch",13.81,13.9
"273","D02W","85","T","max_ht",20.19,20.89
"274","D02W","85","T","p10",1.67,1.73
"275","D02W","85","T","p25",2.31,2.34
"276","D02W","85","T","p50",4.26,3.9
"277","D02W","85","T","p75",8.39,8.23
"278","D02W","85","T","p90",12.65,14.77
"279","D02W","85","T","cover_fraction",96.98,70.03
"280","D02W","85","T","vai_mean",7.05,3.94
"281","D03E","45","B","mean_height_mean",10.19,9.89
"282","D03E","45","B","moch",13.27,14.67
"283","D03E","45","B","max_ht",21.33,21.62
"284","D03E","45","B","p10",3,2.27
"285","D03E","45","B","p25",4.08,3.65
"286","D03E","45","B","p50",6.87,6.19
"287","D03E","45","B","p75",10.12,12.38
"288","D03E","45","B","p90",14.58,17.7
"289","D03E","45","B","cover_fraction",79.94,81.94
"290","D03E","45","B","vai_mean",5.91,5.39
"291","D03W","45","T","mean_height_mean",9.33,8.75
"292","D03W","45","T","moch",12.89,13.28
"293","D03W","45","T","max_ht",19.69,19.51
"294","D03W","45","T","p10",2.08,1.83
"295","D03W","45","T","p25",2.72,2.61
"296","D03W","45","T","p50",4.77,5.58
"297","D03W","45","T","p75",9.21,8.64
"298","D03W","45","T","p90",13.66,12.47
"299","D03W","45","T","cover_fraction",94.34,83.75
"300","D03W","45","T","vai_mean",6.72,5.73
"301","D04E","65","T","mean_height_mean",7.2,5.72
"302","D04E","65","T","moch",10.31,9.15
"303","D04E","65","T","max_ht",16.12,15.66
"304","D04E","65","T","p10",2.03,1.93
"305","D04E","65","T","p25",2.97,2.64
"306","D04E","65","T","p50",5.09,4.31
"307","D04E","65","T","p75",7.97,7.59
"308","D04E","65","T","p90",10.22,10.85
"309","D04E","65","T","cover_fraction",75.98,61.26
"310","D04E","65","T","vai_mean",5.05,3.72
"311","D04W","65","B","mean_height_mean",5.49,4.65
"312","D04W","65","B","moch",7.95,6.78
"313","D04W","65","B","max_ht",15.12,16.15
"314","D04W","65","B","p10",1.9,2.1
"315","D04W","65","B","p25",2.55,2.78
"316","D04W","65","B","p50",3.63,3.98
"317","D04W","65","B","p75",5.79,6.84
"318","D04W","65","B","p90",9.38,9.06
"319","D04W","65","B","cover_fraction",68.73,48.99
"320","D04W","65","B","vai_mean",4.44,3.12
